grid_id,latitude,longitude,zone_name,total_orders,avg_delivery_time_min,avg_order_value,active_restaurants,active_customers,population_density,competitor_count,road_density_km,is_profitable
cell_0000,28.402252,76.802566,Greater Noida,80,43,313,6,416,3039,2,1.95,0
cell_0001,28.402252,76.807699,Greater Noida,79,49,331,6,481,3238,2,1.87,0
cell_0002,28.402252,76.812832,Greater Noida,100,50,350,5,453,3260,2,2.17,0
cell_0003,28.402252,76.817965,Greater Noida,81,44,343,6,483,2860,2,1.94,0
cell_0004,28.402252,76.823098,Greater Noida,79,51,337,6,402,3256,2,1.79,0
cell_0005,28.402252,76.828231,Greater Noida,102,44,352,5,478,3378,2,1.93,0
cell_0006,28.402252,76.833364,Greater Noida,93,48,308,6,355,3360,2,1.92,0
cell_0007,28.402252,76.838497,Greater Noida,102,47,329,7,457,3444,2,1.8,0
cell_0008,28.402252,76.84363,Greater Noida,80,50,365,5,360,3223,2,2.22,0
cell_0009,28.402252,76.848763,Greater Noida,84,53,309,6,459,2827,2,2.02,0
cell_0010,28.402252,76.853896,Greater Noida,95,45,321,6,401,2828,2,2.01,0
cell_0011,28.402252,76.859029,Greater Noida,76,46,325,5,372,3275,2,1.87,0
cell_0012,28.402252,76.864162,Greater Noida,101,49,319,7,474,3128,2,2.16,0
cell_0013,28.402252,76.869295,Greater Noida,106,50,304,6,398,3502,2,1.76,0
cell_0014,28.402252,76.874428,Greater Noida,96,44,316,6,465,3210,2,2.11,0
cell_0015,28.402252,76.879561,Greater Noida,76,48,321,6,415,3190,2,1.99,0
cell_0016,28.402252,76.884694,Greater Noida,79,47,306,5,393,3300,2,1.85,0
cell_0017,28.402252,76.889827,Greater Noida,99,45,325,7,416,2991,2,2.21,0
cell_0018,28.402252,76.89496,Greater Noida,108,44,321,5,418,3285,2,2.08,0
cell_0019,28.402252,76.900093,Greater Noida,88,52,327,5,409,3188,2,1.86,0
cell_0020,28.402252,76.905226,Greater Noida,80,50,294,5,476,3108,2,1.76,0
cell_0021,28.402252,76.910359,Greater Noida,101,44,342,5,376,2825,2,2.23,0
cell_0022,28.402252,76.915492,Greater Noida,93,44,273,6,417,3447,2,2.15,0
cell_0023,28.402252,76.920625,Greater Noida,89,45,350,6,442,3551,2,2.03,0
cell_0024,28.402252,76.925757,Greater Noida,88,45,289,5,351,3175,2,2.22,0
cell_0025,28.402252,76.93089,Greater Noida,97,50,290,6,354,3269,2,2.08,0
cell_0026,28.402252,76.936023,Greater Noida,92,52,349,6,388,3049,2,2.17,0
cell_0027,28.402252,76.941156,Greater Noida,89,49,364,6,474,3506,2,2.0,0
cell_0028,28.402252,76.946289,Greater Noida,94,52,297,6,409,3556,2,2.0,0
cell_0029,28.402252,76.951422,Greater Noida,86,49,327,6,461,3454,2,2.21,0
cell_0030,28.402252,76.956555,Greater Noida,101,46,331,6,409,2862,2,2.09,0
cell_0031,28.402252,76.961688,Greater Noida,82,51,331,7,483,3336,2,1.83,0
cell_0032,28.402252,76.966821,Greater Noida,88,44,295,6,351,3454,2,1.8,0
cell_0033,28.402252,76.971954,Greater Noida,92,45,359,5,407,3200,2,1.98,0
cell_0034,28.402252,76.977087,Greater Noida,77,50,289,7,355,3415,2,2.21,0
cell_0035,28.402252,76.98222,Greater Noida,107,43,277,5,416,2885,2,1.84,0
cell_0036,28.402252,76.987353,Greater Noida,87,52,361,7,499,3541,2,1.84,0
cell_0037,28.402252,76.992486,Greater Noida,74,53,312,6,486,3311,2,2.18,0
cell_0038,28.402252,76.997619,Greater Noida,107,49,331,6,421,3053,2,1.82,0
cell_0039,28.402252,77.002752,Greater Noida,91,53,297,6,492,2950,2,1.81,0
cell_0040,28.402252,77.007885,Greater Noida,105,45,282,7,407,2993,2,2.15,0
cell_0041,28.402252,77.013018,Greater Noida,84,48,317,6,478,3122,2,1.96,0
cell_0042,28.402252,77.018151,Greater Noida,77,50,291,5,424,3338,2,2.05,0
cell_0043,28.402252,77.023284,Greater Noida,93,50,288,5,498,3398,2,1.94,0
cell_0044,28.402252,77.028417,Greater Noida,75,49,367,6,411,3089,2,1.89,0
cell_0045,28.402252,77.03355,Greater Noida,84,45,362,7,504,3511,2,2.14,0
cell_0046,28.402252,77.038683,Greater Noida,73,52,292,6,441,3238,2,2.19,0
cell_0047,28.402252,77.043816,Greater Noida,89,45,333,5,433,2920,2,2.09,0
cell_0048,28.402252,77.048949,Greater Noida,80,50,291,5,454,3447,2,1.85,0
cell_0049,28.402252,77.054081,Greater Noida,81,51,321,6,394,2967,2,1.95,0
cell_0050,28.402252,77.059214,Greater Noida,93,46,281,6,457,2922,2,2.0,0
cell_0051,28.402252,77.064347,Greater Noida,90,43,287,6,473,3207,2,1.94,0
cell_0052,28.402252,77.06948,Greater Noida,106,49,304,6,357,3406,2,2.09,0
cell_0053,28.402252,77.074613,Greater Noida,72,48,304,7,503,3018,2,2.08,0
cell_0054,28.402252,77.079746,Greater Noida,76,43,290,5,404,3446,2,2.22,0
cell_0055,28.402252,77.084879,Greater Noida,91,44,362,5,380,2917,2,1.77,0
cell_0056,28.402252,77.090012,Greater Noida,78,53,291,6,427,3546,2,1.78,0
cell_0057,28.402252,77.095145,Greater Noida,72,50,295,6,376,3266,2,2.16,0
cell_0058,28.402252,77.100278,Greater Noida,93,45,305,6,409,2966,2,1.86,0
cell_0059,28.402252,77.105411,Greater Noida,100,43,316,7,445,2975,2,1.81,0
cell_0060,28.402252,77.110544,Greater Noida,90,49,310,6,384,3165,2,1.78,0
cell_0061,28.402252,77.115677,Greater Noida,74,46,354,7,359,3179,2,2.17,0
cell_0062,28.402252,77.12081,Greater Noida,106,46,364,5,391,2864,2,2.1,0
cell_0063,28.402252,77.125943,Greater Noida,84,48,278,6,388,3408,2,1.79,0
cell_0064,28.402252,77.131076,Greater Noida,80,47,288,7,486,2848,2,2.1,0
cell_0065,28.402252,77.136209,Greater Noida,98,45,280,7,501,3200,2,2.13,0
cell_0066,28.402252,77.141342,Greater Noida,78,50,358,7,483,3077,2,2.12,0
cell_0067,28.402252,77.146475,Greater Noida,89,43,368,7,341,3170,2,1.97,0
cell_0068,28.402252,77.151608,Greater Noida,81,46,326,7,428,2929,2,2.12,0
cell_0069,28.402252,77.156741,Greater Noida,90,45,308,6,425,3151,2,2.01,0
cell_0070,28.402252,77.161874,Greater Noida,93,51,285,5,397,2933,2,1.88,0
cell_0071,28.402252,77.167007,Greater Noida,102,50,356,5,472,2826,2,1.99,0
cell_0072,28.402252,77.17214,Greater Noida,106,46,354,6,411,3494,2,2.02,0
cell_0073,28.402252,77.177272,Greater Noida,100,47,307,6,476,3460,2,2.03,0
cell_0074,28.402252,77.182405,Greater Noida,94,47,333,6,479,2953,2,1.93,0
cell_0075,28.402252,77.187538,Greater Noida,86,46,358,7,426,3542,2,2.05,0
cell_0076,28.402252,77.192671,Greater Noida,88,50,344,6,342,2859,2,2.07,0
cell_0077,28.402252,77.197804,Greater Noida,101,46,327,5,389,3092,2,1.99,0
cell_0078,28.402252,77.202937,Greater Noida,84,44,274,5,416,3135,2,1.79,0
cell_0079,28.402252,77.20807,Greater Noida,105,47,367,7,430,3503,2,1.98,0
cell_0080,28.402252,77.213203,Greater Noida,84,53,280,6,350,2960,2,2.1,0
cell_0081,28.402252,77.218336,Greater Noida,72,52,354,6,348,3304,2,1.92,0
cell_0082,28.402252,77.223469,Greater Noida,95,43,292,5,472,3088,2,2.1,0
cell_0083,28.402252,77.228602,Greater Noida,95,49,365,7,428,3014,2,2.03,0
cell_0084,28.402252,77.233735,Greater Noida,77,50,343,7,440,2954,2,1.83,0
cell_0085,28.402252,77.238868,Greater Noida,80,52,317,7,406,2955,2,2.09,0
cell_0086,28.402252,77.244001,Greater Noida,77,52,345,6,433,2840,2,2.15,0
cell_0087,28.402252,77.249134,Greater Noida,108,44,361,6,492,3529,2,2.19,0
cell_0088,28.402252,77.254267,Greater Noida,95,50,359,6,450,3056,2,2.01,0
cell_0089,28.402252,77.2594,Greater Noida,90,53,358,7,474,3079,2,2.12,0
cell_0090,28.402252,77.264533,Greater Noida,86,47,330,6,387,3413,2,2.01,0
cell_0091,28.402252,77.269666,Greater Noida,93,43,349,6,414,3109,2,2.14,0
cell_0092,28.402252,77.274799,Greater Noida,96,53,344,5,395,3381,2,2.05,0
cell_0093,28.402252,77.279932,Greater Noida,83,46,335,5,422,2842,2,2.06,0
cell_0094,28.402252,77.285065,Greater Noida,88,49,305,6,417,3026,2,2.15,0
cell_0095,28.402252,77.290198,Greater Noida,99,48,317,5,414,3201,2,2.05,0
cell_0096,28.402252,77.295331,Greater Noida,93,53,284,7,376,3575,2,2.2,0
cell_0097,28.402252,77.300463,Greater Noida,80,47,285,6,386,2853,2,2.2,0
cell_0098,28.402252,77.305596,Greater Noida,87,44,367,6,360,3369,2,2.06,0
cell_0099,28.402252,77.310729,Greater Noida,93,46,304,6,420,3547,2,1.8,0
cell_0100,28.402252,77.315862,Greater Noida,76,52,316,5,359,3348,2,2.19,0
cell_0101,28.402252,77.320995,Greater Noida,79,51,294,5,367,3343,2,2.16,0
cell_0102,28.402252,77.326128,Greater Noida,84,51,325,6,424,2951,2,1.97,0
cell_0103,28.402252,77.331261,Greater Noida,82,50,310,6,465,3055,2,1.9,0
cell_0104,28.402252,77.336394,Greater Noida,79,48,325,5,346,2901,2,2.16,0
cell_0105,28.402252,77.341527,Greater Noida,86,52,358,6,445,3152,2,1.79,0
cell_0106,28.402252,77.34666,Greater Noida,106,43,347,5,398,3449,2,2.07,0
cell_0107,28.402252,77.351793,Greater Noida,75,46,337,5,429,2892,2,2.21,0
cell_0108,28.402252,77.356926,Greater Noida,97,53,315,5,374,3451,2,1.99,0
