grid_id,population,median_income,avg_age,household_size,employment_rate,education_index,urbanization_level,internet_penetration,smartphone_adoption
cell_0000,881,648767,28.3,3.64,0.695,0.717,0.893,0.796,0.773
cell_0001,808,661223,27.2,3.65,0.697,0.735,0.881,0.786,0.747
cell_0002,733,594226,27.6,3.78,0.741,0.727,0.881,0.796,0.732
cell_0003,740,566066,29.3,4.01,0.742,0.735,0.866,0.802,0.756
cell_0004,726,562264,29.1,3.69,0.732,0.736,0.881,0.793,0.741
cell_0005,964,674498,29.1,3.84,0.75,0.719,0.869,0.761,0.749
cell_0006,725,660763,27.6,3.7,0.723,0.723,0.891,0.763,0.79
cell_0007,775,558685,28.9,3.89,0.736,0.77,0.865,0.781,0.737
cell_0008,902,599031,26.8,3.71,0.707,0.767,0.885,0.814,0.758
cell_0009,773,652337,28.2,3.92,0.72,0.752,0.877,0.76,0.736
cell_0010,739,596980,28.0,3.99,0.702,0.743,0.889,0.773,0.734
cell_0011,682,673283,28.9,3.86,0.747,0.773,0.869,0.815,0.762
cell_0012,961,597432,26.9,3.68,0.715,0.774,0.893,0.759,0.761
cell_0013,719,572863,27.5,4.0,0.707,0.751,0.887,0.781,0.789
cell_0014,823,619659,27.4,3.7,0.687,0.758,0.88,0.762,0.747
cell_0015,810,575967,28.0,4.02,0.701,0.763,0.889,0.773,0.774
cell_0016,805,636558,28.1,3.61,0.744,0.737,0.869,0.761,0.766
cell_0017,713,621500,27.2,3.87,0.697,0.764,0.876,0.818,0.738
cell_0018,680,672662,29.1,3.69,0.732,0.774,0.882,0.792,0.744
cell_0019,808,669652,28.4,3.73,0.709,0.767,0.894,0.814,0.777
cell_0020,724,578042,29.1,3.85,0.685,0.72,0.886,0.759,0.739
cell_0021,856,638843,27.2,3.9,0.701,0.737,0.889,0.799,0.781
cell_0022,847,569616,27.6,3.69,0.702,0.785,0.876,0.815,0.768
cell_0023,857,629536,28.0,3.66,0.736,0.734,0.863,0.799,0.74
cell_0024,1005,671443,27.6,3.58,0.751,0.745,0.896,0.819,0.781
cell_0025,734,663541,27.5,3.65,0.724,0.783,0.887,0.794,0.736
cell_0026,943,575370,28.1,3.97,0.737,0.765,0.887,0.781,0.747
cell_0027,939,665517,29.2,3.81,0.72,0.772,0.885,0.803,0.778
cell_0028,832,604572,26.9,3.84,0.687,0.747,0.882,0.777,0.766
cell_0029,611,660002,27.6,3.63,0.722,0.77,0.87,0.798,0.735
cell_0030,721,625039,28.4,3.9,0.754,0.751,0.874,0.809,0.746
cell_0031,689,561143,29.3,3.95,0.734,0.743,0.868,0.768,0.745
cell_0032,862,639864,27.4,4.01,0.737,0.754,0.884,0.785,0.745
cell_0033,832,559785,26.9,3.59,0.687,0.777,0.887,0.788,0.736
cell_0034,792,579477,27.8,3.75,0.728,0.76,0.864,0.782,0.768
cell_0035,886,639678,27.1,3.6,0.73,0.714,0.883,0.818,0.765
cell_0036,812,614823,28.1,4.0,0.712,0.785,0.894,0.771,0.734
cell_0037,619,569711,28.5,3.6,0.707,0.776,0.863,0.81,0.747
cell_0038,770,635989,29.1,3.91,0.742,0.734,0.869,0.806,0.779
cell_0039,871,604130,28.8,3.73,0.751,0.777,0.878,0.806,0.775
cell_0040,811,620651,28.9,3.72,0.748,0.742,0.863,0.816,0.735
cell_0041,869,675875,28.2,3.86,0.716,0.734,0.874,0.801,0.775
cell_0042,930,569310,28.0,3.6,0.724,0.746,0.894,0.781,0.737
cell_0043,789,634659,26.9,3.61,0.734,0.718,0.891,0.803,0.735
cell_0044,825,604410,27.6,3.94,0.752,0.786,0.889,0.782,0.735
cell_0045,868,610604,29.1,3.62,0.719,0.713,0.879,0.762,0.737
cell_0046,759,650510,28.2,4.01,0.711,0.734,0.893,0.773,0.788
cell_0047,806,563352,29.1,3.81,0.755,0.718,0.882,0.82,0.761
cell_0048,873,614363,28.4,3.84,0.749,0.716,0.872,0.818,0.784
cell_0049,820,592395,27.1,3.78,0.709,0.756,0.865,0.82,0.79
cell_0050,847,596381,28.9,3.88,0.696,0.781,0.891,0.818,0.774
cell_0051,802,673658,29.0,3.59,0.686,0.741,0.891,0.821,0.739
cell_0052,789,678269,29.0,3.95,0.718,0.744,0.872,0.762,0.782
cell_0053,989,681583,28.2,3.92,0.752,0.776,0.871,0.787,0.737
cell_0054,915,586352,28.5,3.85,0.71,0.721,0.886,0.791,0.777
cell_0055,889,626436,28.2,3.97,0.713,0.723,0.863,0.806,0.767
cell_0056,767,574910,26.6,3.73,0.726,0.742,0.878,0.816,0.751
cell_0057,871,607171,28.3,3.97,0.752,0.724,0.895,0.79,0.745
cell_0058,906,619085,27.5,3.86,0.701,0.718,0.867,0.766,0.739
cell_0059,762,580553,27.6,3.98,0.718,0.763,0.868,0.771,0.732
cell_0060,688,579949,26.8,3.63,0.717,0.728,0.875,0.79,0.772
cell_0061,775,635860,26.8,3.97,0.75,0.717,0.872,0.809,0.775
cell_0062,675,603939,28.0,3.85,0.711,0.747,0.889,0.761,0.745
cell_0063,941,621448,28.1,3.62,0.716,0.752,0.871,0.775,0.753
cell_0064,670,584220,27.5,3.63,0.748,0.757,0.886,0.808,0.76
cell_0065,729,630768,28.7,3.77,0.693,0.734,0.875,0.799,0.764
cell_0066,885,633116,27.3,3.62,0.695,0.731,0.868,0.77,0.747
cell_0067,825,567949,28.1,3.76,0.755,0.721,0.876,0.82,0.782
cell_0068,798,579190,28.5,4.0,0.724,0.755,0.872,0.807,0.741
cell_0069,749,620944,27.3,3.62,0.728,0.734,0.883,0.768,0.759
cell_0070,698,599739,27.0,3.6,0.755,0.737,0.891,0.774,0.771
cell_0071,874,616475,27.8,3.73,0.751,0.775,0.896,0.766,0.774
cell_0072,800,566246,28.7,3.83,0.745,0.723,0.89,0.771,0.74
cell_0073,805,640484,28.1,3.74,0.747,0.742,0.891,0.786,0.753
